source,source_text_id,source_sentence_id,language_stage,script_type,genre,period,hieroglyphs,mdc,sign_sequence,transliteration_gold,translation,lemma_sequence,upos,glossing,grammar_notes,source_ref,review_status,formula_type,deity,recipient,offering_items,formula_slot,display_sequence,normalized_reading_order,alt_transliterations,variant_writing_note,morphology_note,syntax_note,aesthetic_arrangement_flag
TLA,TLA_EARLIER_8364,S8364,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓍿𓅱𓏏 𓇋𓎛𓋴𓅆 𓏅𓈖𓏏 𓇾𓇗,tjwt ahs khnt ta-shmaw,ṯwt ꞽ(ꜣ)ḥs ḫnt(.ꞽ) tꜣ-šmꜥ(.w),ṯwt ꞽ(ꜣ)ḥs ḫnt(.ꞽ) tꜣ-šmꜥ(.w),"Du bist Iahes, der an der Spitze von Oberägypten ist.",175050|ṯwt 20840|Ꞽꜣḥs 119050|ḫnt.ꞽ 169310|Tꜣ-Šmꜥ.w,PRON PROPN ADJ PROPN,2sg.m DIVN PREP-adjz:m.sg TOPN,,data/raw/tla_earlier/tla_earlier.parquet#row=8364,seed,,,,,,𓍿𓅱𓏏 𓇋𓎛𓋴𓅆 𓏅𓈖𓏏 𓇾𓇗,tjwt ahs khnt ta-shmaw,,,,,False
TLA,TLA_EARLIER_8365,S8365,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓊵𓏙 𓇓𓏏 𓊵 𓃢 𓏅𓏏𓊹𓉱,htp-dji nswt htp-dji npw khnt-zh-ntjr,ḥtp-ḏi̯ nswt ḥtp-ḏi̯ ꞽnp.w ḫnt.ꞽ-zḥ-nṯr,ḥtp-ḏi̯ nswt ḥtp-ḏi̯ ꞽnp.w ḫnt.ꞽ-zḥ-nṯr,"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",400156|m-ḫt 88040|nswt 400156|m-ḫt 27360|Ꞽnp.w 119260|ḫnt.ꞽ-zḥ-nṯr,NOUN NOUN NOUN PROPN NOUN,(undefined) N (undefined) DIVN DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=8365,seed,,,,,,𓊵𓏙 𓇓𓏏 𓊵 𓃢 𓏅𓏏𓊹𓉱,htp-dji nswt htp-dji npw khnt-zh-ntjr,,,,,False
TLA,TLA_EARLIER_8366,S8366,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,𓊢𓂝𓈖 𓆓𓂧𓈖 𓊽𓊽𓇋𓏛𓀀 𓆓𓂧𓏏𓏥 𓆑 𓅓 𓎛𓂓𓄿𓀁𓏫,ahan djdn djd djdtn f m hkapl,ꜥḥꜥ.n ḏd.n ḏdꞽ ḏd.t.n =f m ḥkꜣ.PL,ꜥḥꜥ.n ḏd.n ḏdꞽ ḏd.t.n =f m ḥkꜣ.PL,"Daraufhin sagte Djedi das, was er als Zauber(sprüche) zu sagen pflegte.",40111|ꜥḥꜥ.n 185810|ḏd 450047|Ḏdꞽ 185810|ḏd 10050|=f 500292|m 110661|ḥkꜣ.w,PART VERB PROPN VERB PRON ADP NOUN,PTCL V\tam.act-ant PERSN V\rel.f.sg-ant:stpr -3sg.m PREP N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8366,seed,,,,,,𓊢𓂝𓈖 𓆓𓂧𓈖 𓊽𓊽𓇋𓏛𓀀 𓆓𓂧𓏏𓏥 𓆑 𓅓 𓎛𓂓𓄿𓀁𓏫,ahan djdn djd djdtn f m hkapl,,,,,False
TLA,TLA_EARLIER_8367,S8367,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓊄 𓃫 𓎛𓈖𓂝 𓂓 𓆑,z stkh hna ka f,zꞽ stẖ ḥnꜥ kꜣ =f,zꞽ stẖ ḥnꜥ kꜣ =f,Seth ist mit seinem Ka gegangen.,127740|zꞽ 148520|Stẖ 106200|ḥnꜥ 162870|kꜣ 10050|=f,VERB PROPN ADP NOUN PRON,V\tam.act DIVN PREP N.m:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8367,seed,,,,,,𓊄 𓃫 𓎛𓈖𓂝 𓂓 𓆑,z stkh hna ka f,,,,,False
TLA,TLA_EARLIER_8368,S8368,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,𓆓𓂧𓇋𓈖 𓊽𓊽𓇋𓏛𓀀,djdn djd,ḏd.ꞽn ḏdꞽ,ḏd.ꞽn ḏdꞽ,Da sagte Djedi:,185810|ḏd 450047|Ḏdꞽ,VERB PROPN,V\tam.act-cnsv PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8368,seed,,,,,,𓆓𓂧𓇋𓈖 𓊽𓊽𓇋𓏛𓀀,djdn djd,,,,,False
TLA,TLA_EARLIER_8369,S8369,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓅃 𓉘𓊹𓂋𓄡𓊂,hrw ntjr-kht,ḥr.w nṯr(.ꞽ)-ẖ.t,ḥr.w nṯr(.ꞽ)-ẖ.t,Horus Netcherichet,400034|Ḥr.w 400266|Nṯr.ꞽ-ẖ.t,NOUN PROPN,ROYLN ROYLN,,data/raw/tla_earlier/tla_earlier.parquet#row=8369,seed,,,,,,𓅃 𓉘𓊹𓂋𓄡𓊂,hrw ntjr-kht,,,,,False
TLA,TLA_EARLIER_8370,S8370,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓊺𓂋 𓎡 𓊺 𓅝,ntjr k ntjr djhwt,nṯr(.ꞽ) =k nṯr(.ꞽ) ḏḥw.tꞽ,nṯr(.ꞽ) =k nṯr(.ꞽ) ḏḥw.tꞽ,Deine Reinigung ist die Reinigung des Thot.,90510|nṯr.ꞽ 10110|=k 90510|nṯr.ꞽ 185290|Ḏḥw.tꞽ,NOUN PRON NOUN PROPN,N.m:stpr -2sg.m N.m:stc DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=8370,seed,,,,,,𓊺𓂋 𓎡 𓊺 𓅝,ntjr k ntjr djhwt,,,,,False
TLA,TLA_EARLIER_8371,S8371,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,𓐩𓏌𓂝 𓅓 𓐍𓏏𓏛𓏥 𓌡𓂝𓏏𓏤,ndj m kht wat,nḏ m (ꞽ)ḫ.t wꜥ.t,nḏ m (ꞽ)ḫ.t wꜥ.t,(Es) werde zu einer einzigen Masse zermahlen/zerrieben;,90880|nḏ 400082|m 30750|ꞽḫ.t 44150|wꜥ,VERB ADP NOUN ADJ,V\tam.pass PREP N.f ADJ:f.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=8371,seed,,,,,,𓐩𓏌𓂝 𓅓 𓐍𓏏𓏛𓏥 𓌡𓂝𓏏𓏤,ndj m kht wat,,,,,False
TLA,TLA_EARLIER_8372,S8372,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓇋𓂋 𓆓𓂝𓂋𓌙𓂻 𓎢 𓐪𓂧𓏌𓏛 𓈖 𓐍𓈖𓌰𓅓𓋴𓀉𓏛 𓅓 𓍲𓈖𓈖𓀁 𓂋 𓎢 𓏏𓎢𓈖𓂻 𓇋𓅓 𓆑,r djar k qd n khnms m shnn r k tkn m f,ꞽr ḏꜥr =k qd n ḫnms m šnn r =k tkn ꞽm =f,ꞽr ḏꜥr =k qd n ḫnms m šnn r =k tkn ꞽm =f,"Wenn du den Charakter eines ""Freundes"" (untergeordneten Aufsichtsbeamten oder Vertrauten) untersuchst, dann befrage nicht den, der ihm nahe steht!",28150|ꞽr 182760|ḏꜥr 10110|=k 162430|qd 79800|n.ꞽ 118260|ḫnms 64410|m 155490|šni̯ 28170|ꞽr 10110|=k 173680|tkn 400007|m 10050|=f,ADP VERB PRON NOUN ADJ NOUN VERB VERB PART PRON VERB ADP PRON,PREP V\tam.act:stpr -2sg.m N.m PREP-adjz:m.sg N.m V V\advz PTCL:stpr -2sg.m V\ptcp.act.m.sg PREP:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8372,seed,,,,,,𓇋𓂋 𓆓𓂝𓂋𓌙𓂻 𓎢 𓐪𓂧𓏌𓏛 𓈖 𓐍𓈖𓌰𓅓𓋴𓀉𓏛 𓅓 𓍲𓈖𓈖𓀁 𓂋 𓎢 𓏏𓎢𓈖𓂻 𓇋𓅓 𓆑,r djar k qd n khnms m shnn r k tkn m f,,,,,False
TLA,TLA_EARLIER_8373,S8373,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,<g>D261</g> 𓐎𓏏𓀜 𓁷𓂋 𓋴,ndj wt hr s,nḏ wt ḥr =s,nḏ wt ḥr =s,"(es) werde zerrieben, (es) werde damit/darüber verbunden.",90880|nḏ 50980|wt 107520|ḥr 10090|=s,VERB VERB ADP PRON,V\tam.pass V\tam.pass PREP:stpr -3sg.f,,data/raw/tla_earlier/tla_earlier.parquet#row=8373,seed,,,,,,<g>D261</g> 𓐎𓏏𓀜 𓁷𓂋 𓋴,ndj wt hr s,,,,,False
TLA,TLA_EARLIER_8374,S8374,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓏐𓏖 𓆼 𓏊 𓆼,t kha hnqt kha,tʾ ḫꜣ ḥnq.t ḫꜣ,tʾ ḫꜣ ḥnq.t ḫꜣ,"Tausend an Brot, tausend an Bier.",168810|tʾ 113110|ḫꜣ 110300|ḥnq.t 113110|ḫꜣ,NOUN NOUN NOUN NOUN,N.m N.m N.f N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8374,seed,,,,,,𓏐𓏖 𓆼 𓏊 𓆼,t kha hnqt kha,,,,,False
TLA,TLA_EARLIER_8375,S8375,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓊃𓃀𓅡𓄿𓇋,zba,zbꜣꞽ,zbꜣꞽ,Sebai,882389|Zbꜣꞽ,PROPN,PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8375,seed,,,,,,𓊃𓃀𓅡𓄿𓇋,zba,,,,,False
TLA,TLA_EARLIER_8376,S8376,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓌃𓆓,djd-mdw,ḏ(d)-mdw,ḏ(d)-mdw,Worte sprechen:,186050|ḏd-mdw,VERB,V,,data/raw/tla_earlier/tla_earlier.parquet#row=8376,seed,,,,,,𓌃𓆓,djd-mdw,,,,,False
TLA,TLA_EARLIER_8377,S8377,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓋴𓍋 𓌂𓉥 𓇋𓌳𓄪𓐍𓅱 𓉐𓉻𓅓𓂋𓏃𓏏𓈙𓏤 𓃥𓆝𓈘 𓅭𓊃𓄣𓃀,smr khrp-ah makhw m-r-khntw-sh-pr-aa zab-adj-mr za-b,smr ḫrp-ꜥḥ ꞽmꜣḫ.w (ꞽ)m(.ꞽ)-rʾ-ḫnt.w-š-pr-ꜥꜣ zꜣb-ꜥḏ-mr zꜣ-ꞽb,smr ḫrp-ꜥḥ ꞽmꜣḫ.w (ꞽ)m(.ꞽ)-rʾ-ḫnt.w-š-pr-ꜥꜣ zꜣb-ꜥḏ-mr zꜣ-ꞽb,"Der Höfling, Palastleiter, der Würdige, Vorsteher der Chentuschi am Palast und Senior-Verwalter der Provinz Za-ib.",135420|smr 400375|ḫrp-ꜥḥ 25090|ꞽmꜣḫ.w 450177|ꞽm.ꞽ-rʾ-ḫnt.ꞽw-š-pr-ꜥꜣ 401115|zꜣb-ꜥḏ-mr 450573|Zꜣ-ꞽb,NOUN NOUN NOUN NOUN NOUN PROPN,TITL TITL N.m TITL TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8377,seed,,,,,,𓋴𓍋 𓌂𓉥 𓇋𓌳𓄪𓐍𓅱 𓉐𓉻𓅓𓂋𓏃𓏏𓈙𓏤 𓃥𓆝𓈘 𓅭𓊃𓄣𓃀,smr khrp-ah makhw m-r-khntw-sh-pr-aa zab-adj-mr za-b,,,,,False
TLA,TLA_EARLIER_8378,S8378,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓂘𓅜 𓌖𓌸𓁐,zkhnt-akh mrt-nt,zḫn(.t)-ꜣḫ mr.t-nꞽ.t,zḫn(.t)-ꜣḫ mr.t-nꞽ.t,Sucherin des Geistes Merit-Neith,882062|zḫn.t-ꜣḫ 702242|Mr.t-Nꞽ.t,NOUN PROPN,TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8378,seed,,,,,,𓂘𓅜 𓌖𓌸𓁐,zkhnt-akh mrt-nt,,,,,False
TLA,TLA_EARLIER_8379,S8379,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓁹𓂋 𓊃𓀀𓏤 𓁹𓂋𓏏 𓆑 𓂜 𓂋𓐍𓏛 𓆑 𓁹𓏲𓀀 𓋴𓏏 𓂋 𓆑,rr z rrt f n rkh f riw st r f,ꞽrr z ꞽrr.t =f n rḫ =f ꞽri̯.w st r =f,ꞽrr z ꞽrr.t =f n rḫ =f ꞽri̯.w st r =f,"Ein Mann tut, was er tut, (aber) ohne den zu kennen, der es (das Gleiche?) gegen ihn tut.",28550|ꞽri̯ 125010|z 28550|ꞽri̯ 10050|=f 78890|n 95620|rḫ 10050|=f 28550|ꞽri̯ 147350|st 91902|r 10050|=f,VERB NOUN VERB PRON PART VERB PRON VERB PRON ADP PRON,V~ipfv.act N.m V~rel.ipfv.f.sg:stpr -3sg.m PTCL V\tam.act:stpr -3sg.m V\ptcp.act.m.sg =3sg.c PREP:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8379,seed,,,,,,𓁹𓂋 𓊃𓀀𓏤 𓁹𓂋𓏏 𓆑 𓂜 𓂋𓐍𓏛 𓆑 𓁹𓏲𓀀 𓋴𓏏 𓂋 𓆑,rr z rrt f n rkh f riw st r f,,,,,False
TLA,TLA_EARLIER_8380,S8380,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓂋𓈖 𓍯𓇋 𓆼,rn wa kha,rn ꞽwꜣ ḫꜣ,rn ꞽwꜣ ḫꜣ,Tausend an Jungtieren des Langhornrindes.,94720|rn 22160|ꞽwꜣ 113110|ḫꜣ,NOUN NOUN NOUN,N.m:stc N.m N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8380,seed,,,,,,𓂋𓈖 𓍯𓇋 𓆼,rn wa kha,,,,,False
TLA,TLA_EARLIER_8381,S8381,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇓𓅱𓏏 𓅱𓂝𓌡𓏤 𓇋𓅓 𓍿𓈖 𓊹𓊹𓊹,swt wa m tjn ntjrpl,swt wꜥ ꞽm =ṯn nṯr.PL,swt wꜥ ꞽm =ṯn nṯr.PL,"Er ist einer von euch, Götter.",130830|swt 600041|wꜥ 400082|m 10130|=ṯn 90260|nṯr,PRON ADJ ADP PRON NOUN,3sg.m ADJ PREP:stpr -2pl N.m:pl,,data/raw/tla_earlier/tla_earlier.parquet#row=8381,seed,,,,,,𓇓𓅱𓏏 𓅱𓂝𓌡𓏤 𓇋𓅓 𓍿𓈖 𓊹𓊹𓊹,swt wa m tjn ntjrpl,,,,,False
TLA,TLA_EARLIER_8382,S8382,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈖𓉔𓊪 𓆑 𓈖𓉔𓊪 𓍹𓃹𓈖𓇋𓋴𓍺 𓊪𓈖,nhp f nhp wns pn,nhp =f nhp wnꞽs pn,nhp =f nhp wnꞽs pn,"Ist er lebensvoll, ist dieser Unas lebensvoll.",85430|nhp 10050|=f 85430|nhp 800001|Wnꞽs 59920|pn,VERB PRON VERB PROPN PRON,V\tam.act:stpr -3sg.m V\tam.act ROYLN dem.m.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=8382,seed,,,,,,𓈖𓉔𓊪 𓆑 𓈖𓉔𓊪 𓍹𓃹𓈖𓇋𓋴𓍺 𓊪𓈖,nhp f nhp wns pn,,,,,False
TLA,TLA_EARLIER_8383,S8383,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓂓𓅨,wr-ka,wr-kꜣ(=ꞽ),wr-kꜣ(=ꞽ),Wer-kai,450130|Wr-kꜣ,PROPN,PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8383,seed,,,,,,𓂓𓅨,wr-ka,,,,,False
TLA,TLA_EARLIER_8384,S8384,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓋴𓌂𓐍 𓎡 𓋴𓎛𓁷𓂋 𓎡 𓐍𓏏 𓎟 𓈋𓏏 𓂋 𓊨𓁹 𓍹𓅇𓅓𓎃𓆑𓍺 𓍹𓇳𓌸𓂋𓈖𓍺 𓊪𓈖,skhm k shri k kht nbt djwt r wsrw nmt-m-zaf mrn-raw pn,sḫm =k sḥri̯ =k (ꞽ)ḫ.t nb(.t) ḏw.t r (w)sr(.w) nmt.ꞽ-m-zꜣ=f mr.n-rꜥw pn,sḫm =k sḥri̯ =k (ꞽ)ḫ.t nb(.t) ḏw.t r (w)sr(.w) nmt.ꞽ-m-zꜣ=f mr.n-rꜥw pn,Du bist mächtig; mögest du alles Böse von diesem Osiris Nemti-em-za-ef Merenre fernhalten.,142160|sḫm 10110|=k 140980|sḥri̯ 10110|=k 30750|ꞽḫ.t 81660|nb 182840|ḏw 851659|r 49461|Wsꞽr 854416|Nmt.ꞽ-m-zꜣ=f 401175|Mr.n-Rꜥw 59920|pn,VERB PRON VERB PRON NOUN ADJ ADJ ADP NOUN PROPN PROPN PRON,V\tam.act:stpr -2sg.m V\tam.act:stpr -2sg.m N.f ADJ:f.sg ADJ:f.sg PREP TITL ROYLN ROYLN dem.m.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=8384,seed,,,,,,𓋴𓌂𓐍 𓎡 𓋴𓎛𓁷𓂋 𓎡 𓐍𓏏 𓎟 𓈋𓏏 𓂋 𓊨𓁹 𓍹𓅇𓅓𓎃𓆑𓍺 𓍹𓇳𓌸𓂋𓈖𓍺 𓊪𓈖,skhm k shri k kht nbt djwt r wsrw nmt-m-zaf mrn-raw pn,,,,,False
TLA,TLA_EARLIER_8385,S8385,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓅓𓂋𓎧,m-r-sshr,ꞽm.ꞽ-rʾ-sšr,ꞽm.ꞽ-rʾ-sšr,Ein Vorsteher des Leinenzeugs.,855676|ꞽm.ꞽ-rʾ-sšr.w,NOUN,N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8385,seed,,,,,,𓅓𓂋𓎧,m-r-sshr,,,,,False
TLA,TLA_EARLIER_8386,S8386,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓊢𓂝𓈖 𓆓𓂧𓈖 𓆑 𓈖 𓀀,ahan djdn f n,ꜥḥꜥ.n ḏd.n =f n =ꞽ,ꜥḥꜥ.n ḏd.n =f n =ꞽ,Da sagte sie zu mir:,40111|ꜥḥꜥ.n 185810|ḏd 10050|=f 400055|n 10030|=ꞽ,PART VERB PRON ADP PRON,PTCL V\tam.act-ant:stpr -3sg.m PREP:stpr -1sg,,data/raw/tla_earlier/tla_earlier.parquet#row=8386,seed,,,,,,𓊢𓂝𓈖 𓆓𓂧𓈖 𓆑 𓈖 𓀀,ahan djdn f n,,,,,False
TLA,TLA_EARLIER_8387,S8387,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇓𓂋𓐍𓏏 𓅓𓂋<g>O11A</g> 𓌂𓏇𓏏𓂋𓐚 𓍋𓃀𓈖𓎟,r-kht-nzw m-r-ah khrp-mtrw ab-nb,ꞽr.ꞽ-ꞽḫ.t-nzw ꞽm.ꞽ-rʾ-ꜥḥ ḫrp-mꞽtr.w ꜣb-nb(=ꞽ),ꞽr.ꞽ-ꞽḫ.t-nzw ꞽm.ꞽ-rʾ-ꜥḥ ḫrp-mꞽtr.w ꜣb-nb(=ꞽ),"Der Verwalter des Königsvermögens, Vorsteher des Palastes, Leiter der Miteru Abu-Nebi.",95740|ꞽr.ꞽ-ꞽḫ.t-nswt 853017|ꞽm.ꞽ-rʾ-ꜥḥ 852989|ḫrp-mꞽtr.w 882860|Ꜣbi̯-nb=ꞽ,NOUN NOUN NOUN PROPN,TITL TITL TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8387,seed,,,,,,𓇓𓂋𓐍𓏏 𓅓𓂋<g>O11A</g> 𓌂𓏇𓏏𓂋𓐚 𓍋𓃀𓈖𓎟,r-kht-nzw m-r-ah khrp-mtrw ab-nb,,,,,False
TLA,TLA_EARLIER_8388,S8388,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓎟𓏏𓉐 𓊵𓏏𓊪 𓐙𓏏𓊤︂ 𓎟𓏏𓄪 𓄟𓋴𓏏𓈖 𓅭𓏏𓇍𓇋𓇋𓂻,nbt-pr htp maat-khrw nbt-makh msitn zat-y,nb.t-pr ḥtp mꜣꜥ.t-ḫrw nb.t-ꞽmꜣḫ msi̯.t.n zꜣ.t-ꞽy,nb.t-pr ḥtp mꜣꜥ.t-ḫrw nb.t-ꞽmꜣḫ msi̯.t.n zꜣ.t-ꞽy,"die Herrin des Hauses, Hetep, gerechtfertigt, die Herrin der Ehrwürdigkeit, die Satii gebar,",82090|nb.t-pr 400024|Ḥtp 400178|mꜣꜥ.t-ḫrw 400170|nb.t-ꞽmꜣḫ 74950|msi̯ 706037|Zꜣ.t-Ꞽy,NOUN PROPN NOUN NOUN VERB PROPN,TITL PERSN N.f TITL V\rel.f.sg-ant PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8388,seed,,,,,,𓎟𓏏𓉐 𓊵𓏏𓊪 𓐙𓏏𓊤︂ 𓎟𓏏𓄪 𓄟𓋴𓏏𓈖 𓅭𓏏𓇍𓇋𓇋𓂻,nbt-pr htp maat-khrw nbt-makh msitn zat-y,,,,,False
TLA,TLA_EARLIER_8389,S8389,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓂋 𓂋𓏤 𓊪𓆑 𓈖 𓂋𓏲𓏏𓏭𓇯,r r pf n rwt,r rʾ pf n(.ꞽ) rw.tꞽ,r rʾ pf n(.ꞽ) rw.tꞽ,An/zu jenem Tor (?; oder: Spruch) der Außenseite! (??; oder: Über jenen Spruch des Außenseiters: (?,91900|r 92580|rʾ 59880|pf 79800|n.ꞽ 93440|rw.t,ADP NOUN PRON ADJ NOUN,PREP N.m dem.dist.m.sg PREP-adjz:m.sg N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=8389,seed,,,,,,𓂋 𓂋𓏤 𓊪𓆑 𓈖 𓂋𓏲𓏏𓏭𓇯,r r pf n rwt,,,,,False
TLA,TLA_EARLIER_8390,S8390,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓄤𓆑𓂋𓅱𓏭 𓄖 𓎢𓏭,nfrw phw k,nfr.wꞽ pḥ.(wꞽ) =kꞽ,nfr.wꞽ pḥ.(wꞽ) =kꞽ,"""Wie schön ist dein Hintern!",550034|nfr 61490|pḥ.wꞽ 851169|=kꞽ,ADJ NOUN PRON,ADJ-excl N.m:stpr -2sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8390,seed,,,,,,𓄤𓆑𓂋𓅱𓏭 𓄖 𓎢𓏭,nfrw phw k,,,,,False
TLA,TLA_EARLIER_8391,S8391,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓌃𓆓,djd-mdw,ḏ(d)-mdw,ḏ(d)-mdw,Worte sprechen:,186050|ḏd-mdw,VERB,V,,data/raw/tla_earlier/tla_earlier.parquet#row=8391,seed,,,,,,𓌃𓆓,djd-mdw,,,,,False
TLA,TLA_EARLIER_8392,S8392,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈟𓏏 𓆑 𓌸𓂋𓏏 𓆑 𓇓𓏏𓂋𓐍 𓍿𓆑𓇋,hmt f mryt f rt-kht-nswt tjf,ḥm.t =f mr.(y)t =f (ꞽ)r(.ꞽt-ꞽ)ḫ.t-nswt ṯf.ꞽ,ḥm.t =f mr.(y)t =f (ꞽ)r(.ꞽt-ꞽ)ḫ.t-nswt ṯf.ꞽ,"Seine Frau, seine Geliebte, die Verwalterin des Königsvermögens Tschefi.",104730|ḥm.t 10050|=f 550321|mr.yt 10050|=f 95750|ꞽr.ꞽt-ꞽḫ.t-nswt 709207|Ṯfꞽ,NOUN PRON NOUN PRON NOUN PROPN,N.f:stpr -3sg.m V\rel.f.sg:stpr -3sg.m TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8392,seed,,,,,,𓈟𓏏 𓆑 𓌸𓂋𓏏 𓆑 𓇓𓏏𓂋𓐍 𓍿𓆑𓇋,hmt f mryt f rt-kht-nswt tjf,,,,,False
TLA,TLA_EARLIER_8393,S8393,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈖𓂜𓋴𓇦𓂋𓂓,nn-sdjr-ka,nn-sḏr-kꜣ(=ꞽ),nn-sḏr-kꜣ(=ꞽ),Nen-Sedjer-kai.,702558|N-sḏr-kꜣ,PROPN,PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8393,seed,,,,,,𓈖𓂜𓋴𓇦𓂋𓂓,nn-sdjr-ka,,,,,False
TLA,TLA_EARLIER_8394,S8394,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓇋𓅱 𓎟 𓅱𓎛𓇋𓇋𓏏𓀀𓁐𓏥 𓈖𓅘𓎛𓀁 𓋴 𓌞𓋴𓂻 𓆑,w nb whyt nhi s shms f,ꞽw nb wḥy.t nḥi̯ =s šms =f,ꞽw nb wḥy.t nḥi̯ =s šms =f,"(Aber) der Herr einer Großfamilie, die/wenn sie (um etwas) bittet, muß (dem Gott/einem Höheren) Dienste erweisen (?).",21881|ꞽw 81650|nb 48730|wḥ.yt 86050|nḥi̯ 10090|=s 155000|šms 10050|=f,PART NOUN NOUN VERB PRON VERB PRON,PTCL N.m:stc N.f V\tam.act:stpr -3sg.f V\tam.act:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=8394,seed,,,,,,𓇋𓅱 𓎟 𓅱𓎛𓇋𓇋𓏏𓀀𓁐𓏥 𓈖𓅘𓎛𓀁 𓋴 𓌞𓋴𓂻 𓆑,w nb whyt nhi s shms f,,,,,False
TLA,TLA_EARLIER_8395,S8395,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇓𓏏𓂋𓐍𓏏 𓌳𓄪𓐍𓅱𓏏𓐍𓂋𓊹𓉻 𓐍𓈖𓏏𓇋,rt-kht-nswt makhwt-khr-ntjr-aa khnt,(ꞽ)r(.ꞽt-ꞽ)ḫ(.t)-nswt ꞽmꜣḫ.wt-ḫr-nṯr-ꜥꜣ ḫntꞽ,(ꞽ)r(.ꞽt-ꞽ)ḫ(.t)-nswt ꞽmꜣḫ.wt-ḫr-nṯr-ꜥꜣ ḫntꞽ,Die Verwalterin des Königsvermögens und Versorgte bei dem großen Gott Chenti.,95750|ꞽr.ꞽt-ꞽḫ.t-nswt 850381|ꞽmꜣḫ.wt-ḫr-nṯr-ꜥꜣ 400236|Ḫnt.ꞽ,NOUN NOUN PROPN,TITL TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8395,seed,,,,,,𓇓𓏏𓂋𓐍𓏏 𓌳𓄪𓐍𓅱𓏏𓐍𓂋𓊹𓉻 𓐍𓈖𓏏𓇋,rt-kht-nswt makhwt-khr-ntjr-aa khnt,,,,,False
